STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CH,Switzerland,2016,,20657,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CH,Switzerland,2017,,20707,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CH,Switzerland,2018,,20451,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CH,Switzerland,2019,,21559,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CH,Switzerland,2020,,13261,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CH,Switzerland,2021,,14223,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CH,Switzerland,2022,,19201,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CH,Switzerland,2023,,22093,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CH,Switzerland,2024,,22796,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CZ,Czechia,2015,,8125,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CZ,Czechia,2016,,8738,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CZ,Czechia,2017,,9403,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CZ,Czechia,2018,,10220,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CZ,Czechia,2019,,10856,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CZ,Czechia,2020,,6623,,,,,
dataflow,ESTAT:RAIL_PA_TOTAL$DEFAULTVIEW(1.0),Passengers transported,A,Annual,MIO_PKM,Millions of passenger-kilometres,CZ,Czechia,2021,,6752,,,,,
